student_id;course_id
16;85
40;8
49;90
55;37
7;47
11;68
69;15
23;51
83;97
1;67
69;85
62;63
99;38
74;81
15;15
16;23
18;42
5;66
44;92
61;3
60;65
13;66
22;51
75;24
10;49
25;38
19;53
92;20
60;8
74;48
97;61
41;13
62;90
24;96
60;97
57;69
1;14
74;46
94;73
72;16
68;3
89;99
6;47
11;1
89;2
62;26
38;7
93;41
64;79
28;79
61;93
59;89
94;95
68;7
46;31
90;14
13;47
31;78
68;82
43;55
65;28
69;66
91;73
21;80
34;60
38;94
23;34
15;85
32;88
33;100
57;50
83;27
47;88
81;62
72;57
22;92
31;59
2;53
84;93
25;1
90;58
27;96
55;12
90;32
20;73
52;99
87;4
21;86
1;10
41;30
83;73
20;39
47;71
20;72
36;89
31;82
46;85
12;9
37;48
61;11
