student_id;module_id;grade
10;35;57
53;86;29
85;30;57
7;76;35
79;62;74
55;34;89
20;19;10
51;31;16
93;96;95
18;22;90
69;72;32
15;44;7
67;97;0
42;100;89
98;83;66
100;14;82
26;35;20
28;76;11
3;27;47
95;66;43
40;51;70
63;30;15
37;67;71
14;55;67
28;62;89
7;19;99
62;12;41
34;69;49
45;87;0
97;13;2
64;72;3
96;64;81
12;64;77
60;72;84
67;4;85
68;50;90
84;58;23
85;87;60
35;86;92
57;46;46
85;60;28
2;49;6
73;27;96
77;84;73
38;92;54
89;44;99
85;59;16
79;71;12
10;35;35
27;4;82
99;73;41
33;62;100
100;73;77
84;80;25
55;79;63
43;3;64
11;24;52
29;41;9
82;27;96
48;32;20
47;50;8
83;86;84
40;36;36
91;85;37
51;6;52
80;29;49
87;32;18
39;51;59
90;30;44
28;80;66
71;75;92
21;21;30
52;34;74
63;32;15
83;69;99
81;45;79
15;24;83
66;4;22
26;69;84
55;96;7
58;53;81
75;2;95
77;10;32
45;91;66
44;83;71
12;74;30
84;53;39
50;73;61
21;71;49
93;80;96
91;97;4
16;34;99
4;60;76
32;85;4
66;47;94
91;15;79
40;82;24
63;55;10
25;86;74
47;59;32
